ID,CAS,name,molecular formula,chemical structure,B3,C4,C3,C2,N+3,N3,N2,N1,O-1,O2,O1,F1,P4,S4,S3,S1,Cl1,R4,R5,R6,R7,OP
279,67-64-1,Acetone (AC),C3H6O ,,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.23
280,37830-90-3,"4,5-Dimethyl-1,3-dioxol-2-one",C5H6O3,,0,2,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2.45
281,19836-78-3,3-Methyl-2-oxazolidone,C4H7NO2,,0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2.61
282,872-50-4,1-Methyl-2-pyrrolidinone,C5H9NO,,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.46
283,80-73-9,"1,3-Dimethyl-2-imidazolidinone (DMI)",C5H10N2O ,,0,4,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.82
284,110-00-9,Furan,C4H4O,,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.45
285,625-86-5,"2,5-Dimethylfuran",C6H8O,,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.5
286,142-68-7,Tetrahydropyran,C5H10O,,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.82
287,22251-34-9,Ethoxymethoxymethane,C4H10O2,,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.06
288,2105-71-7,3-Fluorofuran ,C4H3FO,,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.59
289,2358-34-1,2-Fluorofuran ,C4H3FO,,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.47
290,-,"3,4-Difluorofuran ",C4H2F2O,,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2.8
291,-,"2,5-Difluorofuran ",C4H2F2O,,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2.5
292,-,"2,3-Difluorofuran",C4H2F2O,,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2.61
293,-,"2,4-Difluorofuran ",C4H2F2O,,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2.63
294,617-90-3,2-Furonitrile,C5H3NO,,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2.98
